Molecule Name,CDD Number,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM)
ASAP-0031087,"",0.003,0.436
ASAP-0031060,"",0.002,0.090
ASAP-0031056,"",0.002,0.133
ASAP-0031035,"",50.237,> 99.500
ASAP-0031022,"",0.037,2.038
ASAP-0031016,"",2.482,> 99.500
ASAP-0031015,"",54.596,> 99.500
ASAP-0031013,"",0.009,0.372
ASAP-0031012,"",3.659,(IC50 could not be calculated)
ASAP-0031011,"",17.636,(IC50 could not be calculated)
ASAP-0031005,"",4.153,> 99.500
ASAP-0031001,"",0.021,0.419
ASAP-0030989,"",0.334,(IC50 could not be calculated)
ASAP-0030983,"",0.593,> 99.500
ASAP-0030982,"",7.911,> 99.500
ASAP-0030981,"",0.007,0.656
ASAP-0030975,"",11.201,(IC50 could not be calculated)
ASAP-0030974,"",3.553,(IC50 could not be calculated)
ASAP-0030966,"",0.003,0.825
ASAP-0030947,"",0.013,6.227
ASAP-0030944,"",4.392,(IC50 could not be calculated)
ASAP-0030943,"",5.229,> 99.500
ASAP-0030941,"",0.003,0.308
ASAP-0030935,"",0.002,0.063
ASAP-0030922,"",1.192,9.534
ASAP-0030921,"",0.733,(IC50 could not be calculated)
ASAP-0030914,"",0.006,1.670
ASAP-0030907,"",4.577,(IC50 could not be calculated)
ASAP-0030906,"",7.090,> 99.500
ASAP-0030899,"",0.004,1.180
ASAP-0030879,"",7.010,> 99.500
ASAP-0030878,"",5.954,(IC50 could not be calculated)
ASAP-0030857,"",5.275,> 99.500
ASAP-0030856,"",9.262,> 99.500
ASAP-0030818,"",5.152,29.472
ASAP-0030817,"",3.242,9.444
ASAP-0030811,"",4.723,> 99.500
ASAP-0030810,"",0.523,28.013
ASAP-0030808,"",0.641,2.519
ASAP-0030807,"",1.354,2.565
ASAP-0030759,"",0.002,0.084
ASAP-0030757,"",4.568,> 99.500
ASAP-0030756,"",6.918,(IC50 could not be calculated)
ASAP-0030751,"",0.940,> 99.500
ASAP-0030750,"",1.729,> 99.500
ASAP-0030718,"",2.843,30.764
ASAP-0030717,"",1.640,28.234
ASAP-0030713,"",0.002,0.133
ASAP-0030703,"",2.872,> 99.500
ASAP-0030702,"",4.492,> 99.500
ASAP-0030113,"",0.013,0.489
ASAP-0030096,"",0.005,1.782
ASAP-0030064,"",0.007,0.197
ASAP-0030057,"",5.345,> 99.500
ASAP-0030055,"",12.849,> 99.500
ASAP-0030048,"",0.008,0.413
ASAP-0030040,"",0.068,0.684
ASAP-0030029,"",> 99.500,> 99.500
ASAP-0030010,"",0.003,0.761
ASAP-0029987,"",0.021,0.443
ASAP-0029984,"",0.006,0.403
ASAP-0029978,"",0.002,0.134
ASAP-0029953,"",0.006,0.441
ASAP-0029947,"",0.280,14.726
ASAP-0029930,"",73.121,> 99.500
ASAP-0029929,"",86.871,""
ASAP-0029925,"",87.484,""
ASAP-0029924,"",> 99.500,""
ASAP-0029920,"",0.059,1.099
ASAP-0029918,"",72.885,""
ASAP-0029915,"",0.006,2.082
ASAP-0029910,"",80.810,""
ASAP-0029907,"",13.389,""
ASAP-0029906,"",85.208,""
ASAP-0029904,"",49.439,""
ASAP-0029903,"",0.531,8.025
ASAP-0029902,"",> 99.500,""
ASAP-0029898,"",> 99.500,""
ASAP-0029897,"",60.108,""
ASAP-0029895,"",> 99.500,""
ASAP-0029894,"",> 99.500,""
ASAP-0029887,"",73.140,> 99.500
ASAP-0029885,"",12.293,""
ASAP-0029884,"",13.777,""
ASAP-0029882,"",36.409,> 99.500
ASAP-0029882,"",41.448,""
ASAP-0029878,"",9.571,(IC50 could not be calculated)
ASAP-0029873,"",5.436,(IC50 could not be calculated)
ASAP-0029871,"",0.010,0.488
ASAP-0029869,"",53.143,""
ASAP-0029868,"",42.802,""
ASAP-0029867,"",14.169,""
ASAP-0029866,"",1.913,(IC50 could not be calculated)
ASAP-0029866,"",2.417,""
ASAP-0029863,"",> 99.500,""
ASAP-0029861,"",7.754,""
ASAP-0029857,"",> 99.500,""
ASAP-0029856,"",0.002,0.183
ASAP-0029855,"",60.401,""
ASAP-0029850,"",> 99.500,""
ASAP-0029849,"",0.044,0.287
ASAP-0029848,"",76.260,> 99.500
ASAP-0029846,"",53.420,""
ASAP-0029839,"",35.053,""
ASAP-0029837,"",> 99.500,""
ASAP-0029828,"",> 99.500,""
ASAP-0029825,"",5.231,""
ASAP-0029824,"",> 99.500,""
ASAP-0029822,"",49.989,""
ASAP-0029820,"",> 99.500,""
ASAP-0029819,"",16.249,""
ASAP-0029818,"",23.660,""
ASAP-0029815,"",> 99.500,""
ASAP-0029811,"",13.769,""
ASAP-0029810,"",> 99.500,""
ASAP-0029809,"",16.543,""
ASAP-0029807,"",> 99.500,""
ASAP-0029806,"",13.284,""
ASAP-0029805,"",0.015,0.990
ASAP-0029799,"",> 99.500,""
ASAP-0029798,"",14.848,""
ASAP-0029794,"",6.031,""
ASAP-0029793,"",15.190,""
ASAP-0029791,"",28.604,> 99.500
ASAP-0029789,"",> 99.500,""
ASAP-0029787,"",17.247,(IC50 could not be calculated)
ASAP-0029784,"",> 99.500,""
ASAP-0029779,"",> 99.500,""
ASAP-0029776,"",90.788,""
ASAP-0029775,"",37.967,""
ASAP-0029772,"",> 99.500,""
ASAP-0029767,"",19.671,""
ASAP-0029765,"",26.935,""
ASAP-0029759,"",> 99.500,""
ASAP-0029754,"",64.609,""
ASAP-0029752,"",> 99.500,> 99.500
ASAP-0029746,"",0.699,(IC50 could not be calculated)
ASAP-0029742,"",8.384,""
ASAP-0029741,"",0.013,0.477
ASAP-0029738,"",2.107,(IC50 could not be calculated)
ASAP-0029736,"",> 99.500,""
ASAP-0029734,"",54.285,""
ASAP-0029733,"",0.027,0.982
ASAP-0029731,"",2.924,(IC50 could not be calculated)
ASAP-0029730,"",> 99.500,""
ASAP-0029727,"",53.405,""
ASAP-0029722,"",11.856,> 99.500
ASAP-0029720,"",> 99.500,""
ASAP-0029716,"",17.470,""
ASAP-0029712,"",27.963,(IC50 could not be calculated)
ASAP-0029710,"",7.012,(IC50 could not be calculated)
ASAP-0029708,"",28.069,""
ASAP-0029707,"",2.173,(IC50 could not be calculated)
ASAP-0029701,"",13.072,""
ASAP-0029700,"",3.229,(IC50 could not be calculated)
ASAP-0029699,"",3.978,(IC50 could not be calculated)
ASAP-0029697,"",1.711,(IC50 could not be calculated)
ASAP-0029696,"",10.082,""
ASAP-0029695,"",46.357,""
ASAP-0029694,"",0.002,0.092
ASAP-0029690,"",0.010,0.463
ASAP-0029688,"",> 99.500,""
ASAP-0029684,"",0.009,0.454
ASAP-0029683,"",0.002,0.135
ASAP-0029680,"",2.609,(IC50 could not be calculated)
ASAP-0029679,"",0.006,0.306
ASAP-0029676,"",> 99.500,""
ASAP-0029674,"",2.126,(IC50 could not be calculated)
ASAP-0029673,"",5.747,""
ASAP-0029671,"",51.436,""
ASAP-0029665,"",40.283,""
ASAP-0029664,"",68.477,""
ASAP-0029663,"",86.906,""
ASAP-0029662,"",10.839,""
ASAP-0029661,"",0.012,0.459
ASAP-0029657,"",0.913,(IC50 could not be calculated)
ASAP-0029656,"",11.113,""
ASAP-0029653,"",1.400,(IC50 could not be calculated)
ASAP-0029652,"",0.004,0.137
ASAP-0029651,"",0.011,0.440
ASAP-0029648,"",25.162,""
ASAP-0029643,"",0.018,0.432
ASAP-0029639,"",4.373,> 99.500
ASAP-0029634,"",1.359,(IC50 could not be calculated)
ASAP-0029631,"",> 99.500,""
ASAP-0029628,"",1.620,(IC50 could not be calculated)
ASAP-0029620,"",48.371,""
ASAP-0029617,"",> 99.500,""
ASAP-0029615,"",0.006,0.355
ASAP-0029611,"",54.649,""
ASAP-0029609,"",4.732,(IC50 could not be calculated)
ASAP-0029604,"",0.464,(IC50 could not be calculated)
ASAP-0029602,"",2.738,> 99.500
ASAP-0029601,"",0.005,0.273
ASAP-0029600,"",4.888,(IC50 could not be calculated)
ASAP-0029598,"",1.169,(IC50 could not be calculated)
ASAP-0029596,"",27.019,""
ASAP-0029591,"",6.722,(IC50 could not be calculated)
ASAP-0029587,"",25.643,""
ASAP-0029583,"",30.064,""
ASAP-0029582,"",3.691,(IC50 could not be calculated)
ASAP-0029579,"",3.087,(IC50 could not be calculated)
ASAP-0029578,"",0.010,0.413
ASAP-0029576,"",9.996,""
ASAP-0029574,"",> 99.500,""
ASAP-0029573,"",53.030,> 99.500
ASAP-0029572,"",0.274,0.987
ASAP-0029568,"",0.004,0.227
ASAP-0029565,"",4.623,> 99.500
ASAP-0029564,"",6.379,""
ASAP-0029561,"",49.724,""
ASAP-0029560,"",0.002,0.095
ASAP-0029558,"",35.156,> 99.500
ASAP-0029557,"",25.554,""
ASAP-0029556,"",37.301,""
ASAP-0029551,"",7.741,(IC50 could not be calculated)
ASAP-0029550,"",10.185,(IC50 could not be calculated)
ASAP-0029547,"",0.002,0.605
ASAP-0029545,"",49.901,""
ASAP-0029539,"",1.208,(IC50 could not be calculated)
ASAP-0029537,"",13.276,""
ASAP-0029536,"",7.792,""
ASAP-0029535,"",61.199,""
ASAP-0029531,"",> 99.500,""
ASAP-0029528,"",63.233,""
ASAP-0029527,"",56.475,""
ASAP-0029524,"",34.863,""
ASAP-0029523,"",> 99.500,""
ASAP-0029522,"",39.070,""
ASAP-0029511,"",> 99.500,""
ASAP-0029510,"",45.866,""
ASAP-0029509,"",96.930,""
ASAP-0029502,"",4.737,(IC50 could not be calculated)
ASAP-0029500,"",45.843,""
ASAP-0029499,"",72.628,""
ASAP-0029495,"",13.840,""
ASAP-0029494,"",3.261,> 99.500
ASAP-0029492,"",0.004,0.129
ASAP-0029490,"",57.925,""
ASAP-0029489,"",64.623,""
ASAP-0029488,"",16.772,""
ASAP-0029487,"",17.717,""
ASAP-0029485,"",67.216,""
ASAP-0029484,"",0.005,0.126
ASAP-0029483,"",53.815,""
ASAP-0029482,"",23.965,""
ASAP-0029481,"",> 99.500,""
ASAP-0029478,"",0.005,0.309
ASAP-0029477,"",> 99.500,""
ASAP-0029476,"",5.947,> 99.500
ASAP-0029475,"",43.141,""
ASAP-0029474,"",72.716,""
ASAP-0029472,"",38.253,""
ASAP-0029469,"",0.024,0.139
ASAP-0029465,"",9.747,""
ASAP-0029464,"",6.326,""
ASAP-0029461,"",> 99.500,""
ASAP-0029460,"",1.613,> 99.500
ASAP-0029459,"",21.771,""
ASAP-0029456,"",> 99.500,""
ASAP-0029453,"",> 99.500,""
ASAP-0029452,"",71.593,""
ASAP-0029449,"",88.789,""
ASAP-0029448,"",1.342,(IC50 could not be calculated)
ASAP-0029447,"",28.482,""
ASAP-0029444,"",45.370,""
ASAP-0029443,"",> 99.500,""
ASAP-0029439,"",58.711,""
ASAP-0029438,"",6.780,""
ASAP-0029437,"",> 99.500,""
ASAP-0029436,"",> 99.500,""
ASAP-0029434,"",55.984,""
ASAP-0029431,"",> 99.500,""
ASAP-0029428,"",> 99.500,""
ASAP-0029426,"",23.593,""
ASAP-0029425,"",33.749,""
ASAP-0029423,"",0.595,(IC50 could not be calculated)
ASAP-0029422,"",0.002,0.128
ASAP-0029420,"",> 99.500,""
ASAP-0029418,"",13.440,""
ASAP-0029417,"",7.993,""
ASAP-0029416,"",0.059,0.631
ASAP-0029414,"",48.046,""
ASAP-0029413,"",31.129,""
ASAP-0029411,"",27.025,""
ASAP-0029408,"",1.250,(IC50 could not be calculated)
ASAP-0029407,"",6.859,""
ASAP-0029405,"",88.042,""
ASAP-0029403,"",10.922,""
ASAP-0029402,"",23.581,""
ASAP-0029400,"",5.819,> 99.500
ASAP-0029398,"",0.005,0.133
ASAP-0029396,"",58.423,""
ASAP-0029392,"",95.154,""
ASAP-0029386,"",0.008,0.386
ASAP-0029383,"",> 99.500,""
ASAP-0029380,"",> 99.500,""
ASAP-0029378,"",> 99.500,""
ASAP-0029370,"",0.043,0.986
ASAP-0029366,"",> 99.500,""
ASAP-0029365,"",13.093,""
ASAP-0029364,"",> 99.500,""
ASAP-0029363,"",1.285,(IC50 could not be calculated)
ASAP-0029358,"",55.521,""
ASAP-0029356,"",> 99.500,""
ASAP-0029353,"",7.491,""
ASAP-0029348,"",> 99.500,""
ASAP-0029346,"",5.445,""
ASAP-0029343,"",0.893,(IC50 could not be calculated)
ASAP-0029342,"",26.777,""
ASAP-0029340,"",0.020,0.365
ASAP-0029339,"",> 99.500,""
ASAP-0029337,"",8.437,""
ASAP-0029335,"",92.564,""
ASAP-0029333,"",4.337,(IC50 could not be calculated)
ASAP-0029324,"",68.212,""
ASAP-0029319,"",> 99.500,""
ASAP-0029315,"",92.097,""
ASAP-0029313,"",8.608,""
ASAP-0029303,"",1.044,2.660
ASAP-0029300,"",49.489,""
ASAP-0029298,"",0.019,0.402
ASAP-0029293,"",34.536,""
ASAP-0029289,"",22.463,""
ASAP-0029287,"",0.339,(IC50 could not be calculated)
ASAP-0029282,"",56.562,""
ASAP-0029276,"",85.523,""
ASAP-0029273,"",0.018,0.433
ASAP-0029271,"",6.928,""
ASAP-0029121,"",0.002,0.129
ASAP-0029104,"",0.002,0.235
ASAP-0029065,"",0.009,0.488
ASAP-0029049,"",22.334,33.612
ASAP-0029043,"",0.001,0.101
ASAP-0029037,"",0.221,1.706
ASAP-0029028,"",0.002,0.138
ASAP-0029024,"",0.012,0.434
ASAP-0029008,"",0.003,0.134
ASAP-0028999,"",0.623,(IC50 could not be calculated)
ASAP-0028977,"",23.816,> 99.500
ASAP-0028951,"",0.004,0.312
ASAP-0028950,"",0.006,0.394
ASAP-0028949,"",0.004,0.296
ASAP-0028948,"",0.002,0.100
ASAP-0028947,"",0.007,0.609
ASAP-0028946,"",0.002,0.133
ASAP-0028945,"",0.001,0.102
ASAP-0028944,"",0.001,0.081
ASAP-0028941,"",0.002,0.329
ASAP-0028936,"",0.003,0.145
ASAP-0028935,"",0.008,2.335
ASAP-0028934,"",27.689,> 99.500
ASAP-0028932,"",0.027,0.968
ASAP-0028931,"",0.002,0.218
ASAP-0028930,"",> 99.500,> 99.500
ASAP-0028927,"",> 99.500,> 99.500
ASAP-0028920,"",0.002,0.138
ASAP-0028919,"",0.002,0.133
ASAP-0028917,"",0.002,0.347
ASAP-0028909,"",0.001,0.102
ASAP-0028907,"",0.001,0.091
ASAP-0028906,"",0.004,0.443
ASAP-0028899,"",0.055,1.922
ASAP-0028893,"",0.002,0.112
ASAP-0028890,"",> 99.500,> 99.500
ASAP-0028889,"",> 99.500,> 99.500
ASAP-0028886,"",0.001,0.111
ASAP-0028881,"",> 99.500,> 99.500
ASAP-0028872,"",45.145,> 99.500
ASAP-0028869,"",> 99.500,> 99.500
ASAP-0028868,"",0.005,0.808
ASAP-0028867,"",60.596,> 99.500
ASAP-0028866,"",> 99.500,> 99.500
ASAP-0028860,"",0.010,1.348
ASAP-0028858,"",0.620,> 99.500
ASAP-0028857,"",> 99.500,> 99.500
ASAP-0028856,"",1.878,(IC50 could not be calculated)
ASAP-0028855,"",9.713,> 99.500
ASAP-0028844,"",39.629,> 99.500
ASAP-0028843,"",> 99.500,> 99.500
ASAP-0028841,"",> 99.500,> 99.500
ASAP-0028838,"",6.667,(IC50 could not be calculated)
ASAP-0028837,"",0.136,(IC50 could not be calculated)
ASAP-0028833,"",76.798,> 99.500
ASAP-0028832,"",3.618,(IC50 could not be calculated)
ASAP-0028830,"",> 99.500,> 99.500
ASAP-0028829,"",36.053,> 99.500
ASAP-0028826,"",0.008,1.732
ASAP-0028825,"",0.013,1.567
ASAP-0028823,"",0.408,> 99.500
ASAP-0028820,"",0.312,(IC50 could not be calculated)
ASAP-0028819,"",7.500,(IC50 could not be calculated)
ASAP-0028818,"",0.339,(IC50 could not be calculated)
ASAP-0028815,"",68.509,> 99.500
ASAP-0028814,"",0.024,2.597
ASAP-0028813,"",0.013,2.348
ASAP-0028810,"",> 99.500,> 99.500
ASAP-0028809,"",0.008,1.019
ASAP-0028804,"",81.434,> 99.500
ASAP-0028028,"",0.001,0.087
ASAP-0028021,"",0.001,0.115
ASAP-0028012,"",42.497,> 99.500
ASAP-0028010,"",0.009,1.102
ASAP-0028008,"",0.017,1.252
ASAP-0028005,"",38.228,> 99.500
ASAP-0028004,"",23.189,> 99.500
ASAP-0028002,"",0.590,(IC50 could not be calculated)
ASAP-0028001,"",1.678,> 99.500
ASAP-0027999,"",0.002,0.192
ASAP-0027997,"",18.230,(IC50 could not be calculated)
ASAP-0027994,"",1.983,(IC50 could not be calculated)
ASAP-0027990,"",0.002,1.091
ASAP-0027986,"",> 99.500,> 99.500
ASAP-0027985,"",0.008,0.833
ASAP-0027976,"",0.534,(IC50 could not be calculated)
ASAP-0027975,"",14.724,> 99.500
ASAP-0027974,"",0.018,1.485
ASAP-0027971,"",36.921,> 99.500
ASAP-0027969,"",13.359,> 99.500
ASAP-0027968,"",1.104,> 99.500
ASAP-0027949,"",12.625,(IC50 could not be calculated)
ASAP-0027948,"",> 99.500,> 99.500
ASAP-0027945,"",0.002,0.133
ASAP-0027942,"",> 99.500,> 99.500
ASAP-0027939,"",0.003,0.367
ASAP-0027938,"",0.003,0.371
ASAP-0027937,"",0.004,0.305
ASAP-0027930,"",> 99.500,> 99.500
ASAP-0027927,"",> 99.500,> 99.500
ASAP-0027924,"",10.269,> 99.500
ASAP-0027877,"",< 0.001,0.051
ASAP-0027871,"",0.001,0.109
ASAP-0027870,"",0.002,0.137
ASAP-0027860,"",0.017,1.077
ASAP-0027848,"",0.003,0.381
ASAP-0027844,"",0.008,0.848
ASAP-0027838,"",0.001,0.131
ASAP-0027836,"","",""
