MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Curve class,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Hill slope,MERS-CoV-MPro_fluorescence-dose-response_weizmann: pIC50,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Standard Deviation (±),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Count,Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
(IC50 could not be calculated),,,,,,4.53,,1.0,ASAP-0030756,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|,2024-08-12
2.519,0.000,28638267936440639347294327357496520638122186016810200848787604831292175390822944867332074811412972011171589335223515633715104732768225732853760.000,1.3,17.036,5.6,6.16,,1.0,ASAP-0030808,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",2024-08-12
> 99.500,,,,,< 4.0,4.09,,1.0,ASAP-0030750,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|",2024-08-12
> 99.500,,,,,< 4.0,3.55,,1.0,ASAP-0030702,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,2024-08-12
28.234,2.454,324.846,2.3,3.876,4.5,5.22,,1.0,ASAP-0030717,C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|,2024-08-12
> 99.500,,,,,< 4.0,4.53,,1.0,ASAP-0030703,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,2024-08-12
2.565,0.000,3515208355211777107973507028432544745402482134043538058365642557426864231511245193216.000,1.3,14.594,5.6,6.22,,1.0,ASAP-0030807,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",2024-08-12
30.764,0.000,337774307738798551291920384.000,2.3,8.239,4.5,5.13,,1.0,ASAP-0030718,C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|,2024-08-12
28.013,1.581,496.350,2.3,4.083,4.6,5.23,,1.0,ASAP-0030810,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|",2024-08-12
> 99.500,,,,,< 4.0,4.06,,1.0,ASAP-0030857,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|,2024-08-12
> 99.500,,,,,< 4.0,4.48,,1.0,ASAP-0030879,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|,2024-08-12
(IC50 could not be calculated),,,,,,4.7,,1.0,ASAP-0030878,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|,2024-08-12
> 99.500,,,,,< 4.0,4.08,,1.0,ASAP-0030811,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|",2024-08-12
> 99.500,,,,,< 4.0,4.85,,1.0,ASAP-0030856,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|,2024-08-12
29.472,5.659,153.491,2.3,2.485,4.5,5.59,,1.0,ASAP-0030818,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-08-12
9.444,0.000,453199002951292666486305252274989100044834164962241900834494796632205431362922779629450355434299274433233532368837069561811230325855057596242393163829571551422611453902848.000,1.3,9.141,5.0,5.77,,1.0,ASAP-0030817,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-08-12
> 99.500,,,,,< 4.0,4.11,,1.0,ASAP-0030757,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|,2024-08-12
0.197,0.048,0.814,2.3,2.967,6.7,7.12,,1.0,ASAP-0030064,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1 |a:9,32|",2024-08-05
> 99.500,,,,,< 4.0,4.01,,1.0,ASAP-0030057,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |&1:17|,2024-07-29
> 99.500,,,,,< 4.0,4.51,,1.0,ASAP-0030029,CN(C)C1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:7|,2024-07-29
0.287,0.032,2.571,2.3,2.724,6.5,7.23,,1.0,ASAP-0029849,"CC1=NC=CC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3CNC3=NN=C(C(F)(F)F)S3)C3=CC(Cl)=CC=C3C2=O)=N1 |a:9,24|",2024-07-22
> 99.500,,,,,< 4.0,4.36,,1.0,ASAP-0029848,CN1N=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:7|,2024-07-22
