SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: Hill slope,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: pIC50 (log10M),Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
0.497,0.477,0.518,1.043,6.3,ASAP-0031592,COC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|,2024-09-16
33.005,30.79,35.379,1.097,4.48,ASAP-0031722,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(Cl)C=C2C1,2024-09-16
2.797,2.622,2.984,1.595,5.55,ASAP-0031617,"O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:27,33|",2024-09-16
0.130,0.125,0.136,1.061,6.88,ASAP-0031522,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1=CC=CC=C1 |&1:21|,2024-09-16
81.602,75.969,87.654,1.078,4.09,ASAP-0031702,C[C@H](C(=O)N1CCC2=C(C=CS2)C1)C1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-16
2.055,1.927,2.191,1.106,5.69,ASAP-0031552,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC(F)(F)F)CC1,2024-09-16
9.397,8.983,9.831,1.414,5.03,ASAP-0031482,CC1=CN=C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2=C1,2024-09-16
1.985,1.878,2.097,1.085,5.7,ASAP-0031506,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |&1:1|,2024-09-16
3.245,3.087,3.41,1.087,5.49,ASAP-0031557,CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |o1:3|,2024-09-16
45.846,42.683,49.242,1.045,4.34,ASAP-0031463,C[C@H]1C2=CC=CN=C2CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-09
0.333,0.311,0.356,1.056,6.48,ASAP-0031445,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-09-09
54.600,50.929,58.535,1.047,4.26,ASAP-0031444,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=CC=C2C1,2024-09-09
73.367,65.029,82.774,1.089,4.13,ASAP-0031433,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC(C(F)(F)F)=CC=C2C1,2024-09-09
40.242,37.215,43.515,1.074,4.4,ASAP-0031418,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(C(F)(F)F)C=C2C1,2024-09-09
6.362,5.907,6.852,1.03,5.2,ASAP-0031367,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2[C@H](F)[C@H]2C1 |&1:16,&2:17,&3:19|",2024-09-09
0.138,0.13,0.145,1.091,6.86,ASAP-0031357,CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|,2024-09-09
36.449,34.373,38.652,1.071,4.44,ASAP-0031322,CC1=CC=C2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CCC2=N1,2024-09-09
0.321,0.306,0.336,1.042,6.49,ASAP-0031289,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |&1:21|,2024-09-09
0.046,0.043,0.049,1.034,7.34,ASAP-0031398,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=C(C(F)(F)F)S1 |a:9,32|",2024-09-09
68.891,64.869,73.163,1.061,4.16,ASAP-0031279,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H](O)C[C@H]2C1 |&1:16,21,&2:18|",2024-09-02
40.618,37.663,43.805,1.062,4.39,ASAP-0031224,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2 |a:16,18|",2024-09-02
4.178,3.883,4.494,1.092,5.38,ASAP-0031226,"C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |a:1,3,6|",2024-09-02
64.535,60.984,68.293,1.171,4.19,ASAP-0031229,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@H]2C1 |&1:15,&2:17|",2024-09-02
72.972,68.096,78.198,1.148,4.14,ASAP-0031239,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]1C2 |&1:16,&2:20|",2024-09-02
10.792,10.293,11.315,1.104,4.97,ASAP-0031240,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]1C2 |&1:16,&2:20|",2024-09-02
23.989,21.977,26.187,1.069,4.62,ASAP-0031241,CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
3.461,3.236,3.702,1.05,5.46,ASAP-0031259,"CC1(C)[C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:3,&2:20|",2024-09-02
36.601,34.734,38.568,1.104,4.44,ASAP-0031260,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@@H]1[C@@H]1C[C@H]21 |&1:15,17,18,20|",2024-09-02
2.325,2.138,2.528,1.068,5.63,ASAP-0031275,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CF)CC1,2024-09-02
11.771,10.767,12.868,1.125,4.93,ASAP-0031276,COCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
3.223,3.01,3.45,1.016,5.49,ASAP-0031127,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|",2024-09-02
8.502,8.03,9.002,1.088,5.07,ASAP-0031251,"CO[C@@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC[C@H]1C |&1:2,20|",2024-09-02
6.622,6.061,7.235,1.091,5.18,ASAP-0031217,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|,2024-09-02
18.100,17.47,18.753,1.043,4.74,ASAP-0031195,N#CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-09-02
6.197,5.745,6.684,1.096,5.21,ASAP-0031128,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|",2024-09-02
10.592,9.707,11.558,1.038,4.98,ASAP-0031159,"C[C@H]1C[C@H]2C[C@@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3,5|",2024-09-02
21.197,19.971,22.497,1.035,4.67,ASAP-0031123,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2 |&1:16,&2:19|",2024-09-02
93.378,85.754,101.679,1.121,4.03,ASAP-0031151,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2 |&1:1|,2024-09-02
24.864,23.195,26.653,0.984,4.6,ASAP-0031186,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1O |&1:1,19|",2024-09-02
1.184,1.118,1.254,1.133,5.93,ASAP-0031188,"CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |o1:6,8|",2024-09-02
1.019,0.96,1.082,1.053,5.99,ASAP-0031218,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|,2024-09-02
47.926,44.772,51.303,1.022,4.32,ASAP-0031192,C[C@@H](O)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |a:1|,2024-09-02
54.596,50.017,59.593,1.119,4.26,ASAP-0031015,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,2024-08-26
2.482,2.298,2.68,1.107,5.61,ASAP-0031016,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|,2024-08-26
33.837,30.523,37.512,1.075,4.47,ASAP-0031116,O=C(CC1=CC=CN=C1)N1CCC2=C(C=CS2)C1,2024-08-26
0.334,0.317,0.351,1.073,6.48,ASAP-0030989,CC1=CSC2=C1CN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2,2024-08-26
4.153,3.658,4.715,1.102,5.38,ASAP-0031005,CC1=CC2=C(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)S1,2024-08-26
17.636,16.502,18.847,1.113,4.75,ASAP-0031011,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|",2024-08-26
0.021,0.02,0.022,1.138,7.68,ASAP-0031001,"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)O1 |a:7,22|",2024-08-26
3.659,3.408,3.93,1.109,5.44,ASAP-0031012,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|",2024-08-26
0.733,0.688,0.781,1.102,6.13,ASAP-0030921,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|",2024-08-19
0.593,0.561,0.627,1.119,6.23,ASAP-0030983,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|,2024-08-19
11.201,10.431,12.027,1.111,4.95,ASAP-0030975,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|",2024-08-19
3.553,3.359,3.759,1.062,5.45,ASAP-0030974,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|",2024-08-19
7.911,7.412,8.444,1.08,5.1,ASAP-0030982,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|,2024-08-19
5.229,4.881,5.602,1.091,5.28,ASAP-0030943,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|,2024-08-19
4.577,4.368,4.796,1.102,5.34,ASAP-0030907,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|",2024-08-19
7.090,6.577,7.644,1.106,5.15,ASAP-0030906,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|",2024-08-19
4.392,4.111,4.692,1.051,5.36,ASAP-0030944,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|,2024-08-19
1.192,1.118,1.271,1.066,5.92,ASAP-0030922,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|",2024-08-19
0.940,0.856,1.032,1.024,6.03,ASAP-0030751,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|",2024-08-12
7.010,6.282,7.822,1.169,5.15,ASAP-0030879,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|,2024-08-12
5.954,5.338,6.641,1.075,5.23,ASAP-0030878,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|,2024-08-12
5.275,4.852,5.735,1.058,5.28,ASAP-0030857,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|,2024-08-12
9.262,8.66,9.907,1.005,5.03,ASAP-0030856,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|,2024-08-12
5.152,4.001,6.634,1.071,5.29,ASAP-0030818,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-08-12
4.723,4.412,5.056,1.071,5.33,ASAP-0030811,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|",2024-08-12
3.242,2.955,3.556,1.108,5.49,ASAP-0030817,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,2024-08-12
0.523,0.481,0.568,1.074,6.28,ASAP-0030810,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|",2024-08-12
1.354,1.245,1.473,1.017,5.87,ASAP-0030807,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",2024-08-12
4.568,4.1,5.089,1.104,5.34,ASAP-0030757,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|,2024-08-12
6.918,6.376,7.507,1.12,5.16,ASAP-0030756,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|,2024-08-12
1.729,1.586,1.884,1.091,5.76,ASAP-0030750,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|",2024-08-12
2.843,2.574,3.14,1.13,5.55,ASAP-0030718,C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|,2024-08-12
1.640,1.444,1.862,1.14,5.79,ASAP-0030717,C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|,2024-08-12
2.872,2.596,3.178,1.1,5.54,ASAP-0030703,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,2024-08-12
4.492,4.225,4.776,1.074,5.35,ASAP-0030702,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|,2024-08-12
0.641,0.544,0.754,1.207,6.19,ASAP-0030808,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|",2024-08-12
0.007,0.006,0.007,1.304,8.18,ASAP-0030064,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1 |a:9,32|",2024-08-05
5.345,4.893,5.839,1.11,5.27,ASAP-0030057,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |&1:17|,2024-07-29
35.053,29.763,41.284,1.227,4.46,ASAP-0029839,"N#C[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",2024-07-22
49.989,43.823,57.023,1.229,4.3,ASAP-0029822,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CCC2)CC1,2024-07-22
13.769,12.19,15.554,1.217,4.86,ASAP-0029811,"CC1=CC=CC=C1[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:7,&2:9|",2024-07-22
23.660,20.772,26.95,1.187,4.63,ASAP-0029818,COCC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-22
16.543,14.387,19.023,1.198,4.78,ASAP-0029809,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C[C@H]1C(F)(F)F)OCCO2 |&1:18|,2024-07-22
5.231,4.565,5.995,1.157,5.28,ASAP-0029825,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@H]12 |&1:1,&2:18,&3:23|",2024-07-22
72.885,64.513,82.342,1.275,4.14,ASAP-0029918,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2C[C@H]1CN2C1=CC=CC=C1 |a:15,17|",2024-07-22
86.871,74.441,101.375,1.234,4.06,ASAP-0029929,COCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:5|,2024-07-22
73.121,63.235,84.551,1.301,4.14,ASAP-0029930,COC1=CC=CC=C1OC[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:10|,2024-07-22
49.439,45.399,53.839,1.213,4.31,ASAP-0029904,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1CS(=O)(=O)C2 |&1:14,&2:17|",2024-07-22
12.293,10.787,14.009,1.253,4.91,ASAP-0029885,CN(C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:3|,2024-07-22
14.169,12.09,16.606,1.203,4.85,ASAP-0029867,"C[C@H]1C[C@H](C2=CC=CC=C2)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2024-07-22
13.777,12.481,15.208,1.224,4.86,ASAP-0029884,"N#CC1[C@H]2CC[C@H]1CN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:3,&2:6|",2024-07-22
7.754,6.716,8.951,1.142,5.11,ASAP-0029861,"C[C@H]1C[C@H](C2=CC=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2024-07-22
2.417,2.181,2.679,1.199,5.62,ASAP-0029866,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |&1:16|,2024-07-22
60.401,52.728,69.19,1.318,4.22,ASAP-0029855,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)CC2(CCC2)C1,2024-07-22
42.802,36.941,49.593,1.181,4.37,ASAP-0029868,"CN1CCC[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:5,&2:23|",2024-07-22
5.436,4.834,6.114,1.111,5.26,ASAP-0029873,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |&1:15,18,19|",2024-07-22
9.571,8.498,10.778,1.212,5.02,ASAP-0029878,"COC1=CC=CC([C@H]2C[C@H](C)CN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:7,&2:9|",2024-07-22
41.448,37.967,45.249,1.209,4.38,ASAP-0029882,"C[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:3|",2024-07-22
53.143,48.051,58.773,1.192,4.27,ASAP-0029869,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](OC2=CC=CC=C2)C1 |&1:17|,2024-07-22
13.284,11.791,14.965,1.221,4.88,ASAP-0029806,"CC[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C1=CC=C(OC)C=C1 |&1:2,19|",2024-07-22
87.484,76.394,100.184,1.379,4.06,ASAP-0029925,N#CC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C1,2024-07-22
6.031,5.326,6.828,1.117,5.22,ASAP-0029794,"C[C@H]1C[C@H](C2CCCCC2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2024-07-22
73.140,62.972,84.949,1.298,4.14,ASAP-0029887,CCN1C=CN=C1[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:7|,2024-07-22
28.604,25.179,32.494,1.183,4.54,ASAP-0029791,CN1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C2=CC=CC=C21,2024-07-22
14.848,13.152,16.762,1.179,4.83,ASAP-0029798,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CCC1=CC=CC=C1 |&1:17|,2024-07-22
80.810,70.788,92.251,1.172,4.09,ASAP-0029910,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=CNN=C21 |&1:1|,2024-07-22
37.967,33.298,43.291,1.253,4.42,ASAP-0029775,"C[C@H]1CCC[C@@H](CNC(=O)C(F)(F)F)N1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,5|",2024-07-22
64.609,58.351,71.539,1.304,4.19,ASAP-0029754,CN(C)[C@]1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|,2024-07-22
19.671,17.072,22.666,1.197,4.71,ASAP-0029767,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(F)C(F)=C2)C1 |&1:16|,2024-07-22
90.788,77.289,106.644,1.321,4.04,ASAP-0029776,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1 |&1:15,22|",2024-07-22
76.260,67.961,85.573,1.253,4.12,ASAP-0029848,CN1N=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:7|,2024-07-22
17.247,15.486,19.209,1.222,4.76,ASAP-0029787,CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=CC=C21 |&1:4|,2024-07-22
